Attendance date,Employee number,Leave type,Reason,Half day
2016-02-03,E031tgc,CL,Domestic,Full Day
2016-02-02,E2014-0032,CL,Sick,Full Day
2016-02-03,E2014-0032,CL,Sick,Full Day
2016-02-01,E2014-0034,CL,Sick,Full Day
2016-02-03,E2015-0048,CL,sick leave,Full Day
2016-03-28,E2012-0015,CL,Sick Leave,Full Day
2016-03-18,E2014-0042,CL,Domestic,Full Day
2016-03-28,E2015-0049,CL,Sick Leave,Full Day
2016-03-29,E2015-0049,CL,Sick Leave,Full Day
2016-04-12,E2014-0032,CL,Sick,Full Day
2016-04-18,E2015-0045,CL,Casual,Full Day
2016-04-20,E2012-0015,CL,Casual Leave,Full Day
2016-04-25,E2013-0029,CL,Casual,Full Day
2016-04-26,E2013-0029,CL,Casual Leave,Full Day
2016-04-25,E2015-0048,CL,Domestic Issue,Half Day
2016-04-26,E2014-0036,CL,Domestic Issue,Half Day
2016-05-03,E2015-0049,CL,uni ppaers,Full Day
2016-05-05,E2015-0049,CL,uni papers,Full Day
2016-05-07,E2015-0049,CL,uni papers,Full Day
2016-05-09,E2015-0049,CL,uni papers,Full Day
2016-05-11,E2015-0049,CL,Uni Papers,Full Day
2016-05-10,E2013-0029,CL,Sick Leave,Full Day
2016-05-07,E2012-0008,CL,Domestic,Full Day
2016-05-10,E2013-0024,CL,Sick ,Full Day
2016-05-06,E2012-0008,CL,Domestic,Full Day
2016-05-06,E2015-0049,CL,paper,Full Day
2016-05-13,E2014-0039,CL,sick,Full Day
2016-05-16,E2013-0024,CL,Sick ,Full Day
2016-05-16,E2014-0042,CL,Sick ,Full Day
2016-05-17,E2012-0015,CL,Sick,Full Day
2016-05-18,E2015-0048,CL,casual,Full Day
2016-05-18,E2014-0032,CL,Sick,Full Day
2016-05-18,E2012-0015,CL,Casual,Full Day
2016-05-19,E2015-0048,CL,Casual,Full Day
2016-05-20,E2012-0015,CL,casual,Full Day
2016-05-23,E2015-0044,CL,Casual,Full Day
2016-05-24,E2015-0044,CL,Sick,Full Day
2016-05-25,E2014-0037,CL,Casual,Full Day
